quiz_id,quiz_name,question_id,question_name,question_text
2306657,Listening Level 1 - Daily Life - Practice 1,47336736,Question 6,"<h2>Think about it...</h2>
<ol>
<li>How many hours of sleep do you get at night?</li>
<li>How do you feel when you do not sleep a lot at night?</li>
</ol>"
2306673,Listening Level 1 - Daily Life - Practice 10,47335171,Question 6,"<h2>Think about it...</h2>
<ol>
<li>What are your favorite activities?</li>
<li>Do you think it is important to balance work and play? </li>
<li>How do you find the right balance?</li>
</ol>"
2306660,Listening Level 1 - Daily Life - Practice 2,47335108,Question 6,"<h2>Think about it...</h2>
<ol>
<li>Are there farmers markets close to your home?</li>
<li>What are your favorite fruits and vegetables?</li>
</ol>"
2306662,Listening Level 1 - Daily Life - Practice 3,47335117,Question 6,"<h2>Think about it...</h2>
<ol>
<li>What kind of voice messages do you receive?</li>
<li>Do you enjoy going to the doctor?</li>
</ol>"
2306663,Listening Level 1 - Daily Life - Practice 4,47335115,Question 6,"<h2>Think about it...</h2>
<p>Do you eat in a cafeteria or restaurant very often?</p>
<p>What is your favorite food there?</p>"
2306661,Listening Level 1 - Daily Life - Practice 5,47336939,Question 6,"<h2>Think about it...</h2>
<ol>
<li>Do you brush your teeth in the morning, afternoon, and evening?</li>
<li>What is more important: to brush or to floss?</li>
</ol>"
2306665,Listening Level 1 - Daily Life - Practice 6,47335145,Question 6,"<h2>Think about it...</h2>
<ol>
<li>What is your favorite music?</li>
<li>What is your favorite movie?</li>
</ol>"
2306667,Listening Level 1 - Daily Life - Practice 7,47335138,Question 6,"<h2>Think about it...</h2>
<ol>
<li>What is your favorite drink?</li>
<li>Do you drink enough water?</li>
</ol>"
2306668,Listening Level 1 - Daily Life - Practice 8,47336945,Question 6,"<h2>Think about it...</h2>
<ol>
<li>What do you like to do for dates?</li>
</ol>"
2306671,Listening Level 1 - Daily Life - Practice 9,47335147,Question 6,"<h2>Think about it...</h2>
<ol>
<li>Have you been to a gym?</li>
<li>What is your favorite sport?</li>
</ol>"
2306844,Listening Level 1 - Social Communications - Practice 10,47335569,Question 6,"<h2>Think about it...</h2>
<ol>
<li>Did you have to eat your food before eating dessert when you were a kid? </li>
<li>What is your favorite food? What do you like about this food? </li>
<li>What food do you not like? What do you not like about this food? </li>
</ol>"
2306836,Listening Level 1 - Social Communications - Practice 2,47335457,Question 6,"<h2>Think about it...</h2>
<p>1. Do you like to watch movies in the theater or at home? </p>
<p>2. Do you like to watch movies in the afternoon or evening? </p>
<p>3. Do you like funny movies or sad movies? </p>"
2306837,Listening Level 1 - Social Communications - Practice 3,47335415,Question 6,"<h2>Think about it...</h2>
<ol>
<li>What do you like to do on vacation? </li>
</ol>"
2306838,Listening Level 1 - Social Communications - Practice 4,47335475,Question 6,"<h2>Think about it...</h2>
<ol>
<li>What did you do for your birthday last year? </li>
<li>Did you eat something special?  </li>
</ol>"
2306839,Listening Level 1 - Social Communications - Practice 5,47335488,Question 6,"<h2>Think about it...</h2>
<ol>
<li>Do you like concerts? </li>
<li>What is your favorite band? </li>
<li>What is your favorite music? </li>
</ol>"
2306840,Listening Level 1 - Social Communications - Practice 6,47335505,Question 6,"<h2>Think about it...</h2>
<ol>
<li>Do you have tasks to do at home? What kind of tasks? </li>
</ol>"
2306841,Listening Level 1 - Social Communications - Practice 7,47335518,Question 5,"<h2>Think about it...</h2>
<p>1. What do you do to help others in your community? </p>"
2306842,Listening Level 1 - Social Communications - Practice 8,47335542,Question 5,"<h2>Think about it...</h2>
<p>1. Do you go on dates?  </p>
<p>2. What is your favorite date memory?  </p>
<p>3. What is your worst date memory</p>"
2306843,Listening Level 1 - Social Communications - Practice 9,47335551,Question 6,"<h2>Think about it...</h2>
<ol>
<li>Do you have tests in your classes? </li>
<li>Do you study with classmates? </li>
<li>Do you study by yourself? </li>
<li>What way is better for studying? </li>
</ol>"
2306677,Listening Level 2 - Daily Life - Practice 1,47335191,Question 6,"<h2>Think about it...</h2>
<ol>
<li>How do you help your friends when they have problems?</li>
</ol>"
2306700,Listening Level 2 - Daily Life - Practice 10,47335209,Question 6,"<h2>Think about it...</h2>
<ol>
<li>Do you think being a stylist has many advantages?</li>
<li>If you could have another career, what would you choose to do? Why?</li>
</ol>"
2306679,Listening Level 2 - Daily Life - Practice 2,47335197,Question 6,"<h2>Think about it...</h2>
<ol>
<li>Did your parents tell you bedtime stories when you were a kid?</li>
<li>What is your favorite bedtime story?</li>
</ol>"
2306682,Listening Level 2 - Daily Life - Practice 3,47335203,Question 6,"<h2>Think about it...</h2>
<ol>
<li>Are some people too cautious?</li>
<li>Are some people too confident?</li>
</ol>"
2306684,Listening Level 2 - Daily Life - Practice 4,47335287,Question 6,"<h2>Think about it...</h2>
<ol>
<li>How much would you pay for a new laptop?</li>
<li>How has technology helped you in your life and in your school work?</li>
</ol>"
2306686,Listening Level 2 - Daily Life - Practice 5,47335319,Question 6,"<h2>Think about it...</h2>
<p>What do you do to relieve stress?</p>"
2306689,Listening Level 2 - Daily Life - Practice 6,47335305,Question 6,"<h2>Think about it...</h2>
<ol>
<li>Do you ask for help when you shop?</li>
<li>Do you return items you don't like?</li>
</ol>"
2306693,Listening Level 2 - Daily Life - Practice 7,47336951,Question 6,"<h2>Think about it...</h2>
<ol>
<li> Do you think Jared could have accomplished his goal if his schedule was not strict?</li>
<li>Do you have a strict routine for work, school or for eating?</li>
<li>How do routines help us accomplish our goals?</li>
<li>How can you improve your daily routine?</li>
</ol>"
2306696,Listening Level 2 - Daily Life - Practice 8,47335329,Question 6,"<h2>Think about it...</h2>
<ol>
<li>Do you have neighbors?</li>
<li>Do you have a good relationship with them?</li>
</ol>"
2306846,Listening Level 2 - Social Communications - Practice 1,47335580,Question 6,"<h2>Think about it...</h2>
<p>1. What kind of relationship do Jamie and Eric have?</p>"
2306855,Listening Level 2 - Social Communications - Practice 10,47336048,Question 6,"<h2>Think about it...</h2>
<ol>
<li>Have you ever been lost before? </li>
<li>What did you do? </li>
</ol>"
2306847,Listening Level 2 - Social Communications - Practice 2,47335595,Question 6,"<h2>Think about it...</h2>
<ol>
<li>Do you like to plan parties? </li>
<li>Where do you usually have your parties? </li>
</ol>"
2306848,Listening Level 2 - Social Communications - Practice 3,47335621,Question 6,"<h2>Think about it...</h2>
<ol>
<li>What ideas do you have for saving money? </li>
<li>Do you know someone who is good at saving money? What does that person do to save money? </li>
</ol>"
2306849,Listening Level 2 - Social Communications - Practice 4,47335644,Question 6,"<h2>Think about it...</h2>
<p>1. What motivates you to study? </p>
<p>2. How do you avoid procrastination?   </p>"
2306850,Listening Level 2 - Social Communications - Practice 5,47335664,Question 6,"<h2>Think about it...</h2>
<p>1. Is there a country you would like to visit someday?  </p>"
2306851,Listening Level 2 - Social Communications - Practice 6,47335694,Question 6,"<h2>Think about it...</h2>
<ol>
<li>Do you use home remedies for health emergencies or do you go to the hospital? </li>
<li>Have you been in the hospital before? </li>
</ol>"
2306852,Listening Level 2 - Social Communications - Practice 7,47335716,Question 6,"<h2>Think about it...</h2>
<p>1. How do you support your family?  </p>
<p>2. Would you take time off work to support your family in a special event like the X-Games? </p>"
2306853,Listening Level 2 - Social Communications - Practice 8,47335732,Question 6,"<h2>Think about it...</h2>
<p>1. Have you been in a situation like this in the past? What did you do? </p>"
2306854,Listening Level 2 - Social Communications - Practice 9,47335930,Question 6,"<h2>Think about it...</h2>
<ol>
<li>Do you think being a stylist has many advantages?</li>
<li>If you could have another career, what would you choose to do? Why?</li>
</ol>"
2306669,Reading Level 1 - Daily Life - Practice 10,47335543,Question 06,"<h2>Think about it...</h2>
<p>How is Abby’s email to Brittany similar to how you ask for help with maintenance? How is it different?</p>"
2306731,Reading Level 1 - Daily Life - Practice 2,47335419,Question 6,"<h2>Think about it....</h2>
<p>Have you ever felt culture shock? What helped you feel better?</p>"
2306733,Reading Level 1 - Daily Life - Practice 3,47335490,Question 6,"<h2>Think about it...</h2>
<p>1. Would you like to take this survey?</p>
<p>2. What would some of your answers be?</p>"
2306735,Reading Level 1 - Daily Life - Practice 4,47335430,Question 6,"<h2>Think about it...</h2>
<p>Do you live in an apartment? Do you like to have guests? Why/why not?</p>"
2306737,Reading Level 1 - Daily Life - Practice 5,47335479,Question 6,"<h2>Think about it...</h2>
<p>Do you think it is good to go online to look for advice when you are sick? Why or why not?</p>"
2306738,Reading Level 1 - Daily Life - Practice 6,47335449,Question 6,"<h2>Think about it...</h2>
<p>What would Jessica write in an email back to Peter?</p>"
2306740,Reading Level 1 - Daily Life - Practice 7,47335467,Question 6,"<h2>Think about it...</h2>
<p>Would you like to go to the Sunnydale School Annual Holiday Breakfast? Why or why not?</p>"
2306664,Reading Level 1 - Daily Life - Practice 8,47335496,Question 6,"<h2>Think about it...</h2>
<p>In your country, do you get receipts like Daniel’s receipt? What is similar or different about receipts in your country?</p>"
2306666,Reading Level 1 - Daily Life - Practice 9,47335528,Question 06,"<h2>Think about it...</h2>
<p>Would you comment on Tina’s blog post? What would you write?</p>"
2306888,Reading Level 1 - Social Communications - Practice 10,47336326,Question 6,"<h2>Think about it...</h2>
<ol>
<li>Do you think it is important who your friends are? </li>
<li>Which piece of advice from this Q&amp;A article do you think is the best? Why? </li>
</ol>"
2306880,Reading Level 1 - Social Communications - Practice 2,47336246,Question 6,"<h2>Think about it...</h2>
<p>Why is a <strong>picnic</strong> a good activity for your friends from church, school, or work? </p>"
2306882,Reading Level 1 - Social Communications - Practice 4,47336304,Question 6,"<h2>Think about it...</h2>
<p>How can you use one of the ideas from this text when you speak about your <strong>beliefs</strong>? </p>"
2306883,Reading Level 1 - Social Communications - Practice 5,47336256,Question 6,"<h2>Think about it...</h2>
<p>Do you think that Angela has the three characteristics you wrote down in the Warm-up? Why or why not? </p>"
2306884,Reading Level 1 - Social Communications - Practice 6,47336281,Question 6,"<h2>Think about it...</h2>
<ol>
<li>What do you think is the best way to make friends? </li>
<li>Which suggestion in the email do you think is the best? Why?</li>
</ol>"
2306885,Reading Level 1 - Social Communications - Practice 7,47336292,Question 6,"<h2>Think about it...</h2>
<ol>
<li>Do you like to play games?  </li>
<li>Would you like to join a club called Game Club? Why/Why not? </li>
</ol>"
2306886,Reading Level 1 - Social Communications - Practice 8,47336302,Question 6,"<h2>Think about it...</h2>
<p>Would you like to receive a surprise like this for your birthday? </p>"
2306887,Reading Level 1 - Social Communications - Practice 9,47336444,Question 6,"<h2>Think about it...</h2>
<ol>
<li>What do you think is the best way to know if someone is interested in you romantically? </li>
<li>Do you think Karli should ask her classmate to go on a date with her? </li>
</ol>"
2306672,Reading Level 2 - Daily Life - Practice 1,47335531,Question 6,"<h2>Think about it...</h2>
<ol>
<li data-aria-level=""1"" data-aria-posinset=""1"" data-listid=""7"">
<p>Look at the list of English words that you wrote during the warm-up. What words or phrases from the passage can you now add to your list? </p>
</li>
</ol>
<p> </p>"
2306688,Reading Level 2 - Daily Life - Practice 10,47335636,Question 6,"<h2>Think about it...</h2>
<ol>
<li>Are you aware of the food that you eat every day? </li>
<li>Do you agree that the foods mentioned in the article can give you more energy? </li>
</ol>"
2306674,Reading Level 2 - Daily Life - Practice 2,47335537,Question 6,"<h2>Think about it...</h2>
<p>1. How are Sister Ellsworth’s experiences similar to your own experiences with serving others? How are her experiences different?</p>"
